timestamp,repo,stars,latest_release_version,published_at,daily_downloads,weekly_downloads,monthly_downloads,total_downloads
2024-10-20 01:15:00.493984,mqt-core,53,v2.7.0,2024-10-08T11:59:00Z,90.0,2052.0,5659.0,149967.0
2024-10-20 01:15:00.493984,mqt-ddsim,135,v1.24.0,2024-10-10T11:53:28Z,31.0,6126.0,18230.0,282573.0
2024-10-20 01:15:00.493984,mqt-qmap,95,v2.7.0,2024-10-10T19:35:01Z,75.0,5627.0,17650.0,290412.0
2024-10-20 01:15:00.493984,mqt-qcec,90,v2.8.0,2024-10-09T10:20:11Z,125.0,10502.0,30190.0,459646.0
2024-10-20 01:15:00.493984,mqt-qecc,102,v1.8.1,2024-10-09T10:19:00Z,55.0,2235.0,7448.0,67207.0
2024-10-20 01:15:00.493984,mqt-bench,73,v1.1.7,2024-10-11T07:21:24Z,107.0,1170.0,3830.0,50708.0
2024-10-20 01:15:00.493984,mqt-predictor,58,v2.1.0,2024-10-11T08:16:09Z,7.0,225.0,657.0,11018.0
2024-10-20 01:15:00.493984,mqt-qudits,17,v0.3.0,2024-10-10T09:57:31Z,6.0,1385.0,5119.0,20592.0
2024-10-20 01:15:00.493984,mqt-syrec,23,v1.1.2,2024-01-02T11:25:15Z,4.0,1132.0,3796.0,68527.0
2024-10-20 01:15:00.493984,mqt-qusat,17,v1.1.2,2024-07-02T14:59:26Z,5.0,1159.0,3706.0,60570.0
2024-10-20 01:15:00.493984,mqt-qubomaker,13,v1.0.1,2024-10-11T13:36:55Z,0.0,43.0,154.0,922.0
2024-10-20 01:15:00.493984,mqt-qao,14,v0.1.0,2024-06-06T17:41:36Z,0.0,20.0,63.0,694.0
2024-10-20 01:15:00.493984,mqt-debugger,1,No release,No release,,,,
2024-10-20 01:15:00.493984,mqt-ddvis,19,v1.7.2,2024-09-19T20:19:11Z,,,,
2024-10-20 01:15:00.493984,mqt-ion-shuttler,14,No release,No release,,,,
2024-10-20 01:15:00.493984,mqt-dasqa,14,No release,No release,,,,
2024-10-20 01:15:00.493984,mqt-workflows,5,v1.4.7,2024-10-18T08:58:48Z,,,,
2024-10-20 01:15:00.493984,mqt-planqk,9,No release,No release,,,,
2024-10-20 01:15:00.493984,mqt,12,v1.1.1,2024-09-18T15:22:19Z,,,,
